     Èas / s    Napìtí / V
      51,277  6,36600E-004
      51,517  6,37400E-004
      51,757  6,37700E-004
      51,997  6,37800E-004
      52,237  6,38300E-004
      52,477  6,38900E-004
      52,717  6,39100E-004
      52,957  6,39300E-004
      53,197  6,39700E-004
      53,437  6,40200E-004
      53,677  6,40200E-004
      53,917  6,41100E-004
      54,157  6,41100E-004
      54,397  6,41300E-004
      54,637  6,41900E-004
      54,886  6,42600E-004
      55,117  6,43000E-004
      55,356  6,42900E-004
      55,596  6,43500E-004
      55,846  6,43700E-004
      56,076  6,44200E-004
      56,316  6,44500E-004
      56,556  6,45000E-004
      56,796  6,45200E-004
      57,036  6,45600E-004
      57,286  6,45700E-004
      57,516  6,46500E-004
      57,766  6,46500E-004
      57,996  6,47000E-004
      58,236  6,47600E-004
      58,486  6,47800E-004
      58,716  6,48100E-004
      58,956  6,48600E-004
      59,196  6,48900E-004
      59,446  6,49000E-004
      59,676  6,49400E-004
      59,916  6,49800E-004
      60,156  6,49900E-004
      60,406  6,50400E-004
      60,636  6,50900E-004
      60,876  6,51000E-004
      61,116  6,51800E-004
      61,366  6,51800E-004
      61,596  6,52500E-004
      61,836  6,52300E-004
      62,086  6,52800E-004
      62,316  6,53500E-004
      62,565  6,53300E-004
      62,795  6,53900E-004
      63,045  6,54300E-004
      63,275  6,54300E-004
      63,515  6,54600E-004
      63,755  6,55200E-004
      64,005  6,55800E-004
      64,235  6,55500E-004
      64,485  6,56400E-004
      64,715  6,56500E-004
      64,965  6,56600E-004
      65,195  6,57200E-004
      65,445  6,57500E-004
      65,675  6,57700E-004
      65,925  6,58100E-004
      66,155  6,58200E-004
      66,395  6,58700E-004
      66,635  6,58900E-004
      66,885  6,59600E-004
      67,115  6,59600E-004
      67,354  6,59900E-004
      67,594  6,60300E-004
      67,844  6,60400E-004
      68,074  6,60800E-004
      68,324  6,61300E-004
      68,554  6,61800E-004
      68,804  6,61600E-004
      69,034  6,62500E-004
      69,284  6,62700E-004
      69,525  6,62500E-004
      69,765  6,63200E-004
      70,005  6,63400E-004
      70,245  6,63800E-004
      70,475  6,64000E-004
      70,725  6,64400E-004
      70,955  6,64600E-004
      71,205  6,65000E-004
      71,435  6,65300E-004
      71,685  6,65600E-004
      71,915  6,65800E-004
      72,165  6,66300E-004
      72,395  6,66400E-004
      72,645  6,66900E-004
      72,885  6,67200E-004
      73,124  6,67500E-004
      73,354  6,67700E-004
      73,604  6,68200E-004
      73,844  6,68500E-004
      74,084  6,68800E-004
      74,324  6,68800E-004
      74,554  6,69400E-004
      74,794  6,69500E-004
      75,044  6,69400E-004
      75,284  6,70100E-004
      75,524  6,70300E-004
      75,764  6,70500E-004
      76,004  6,70800E-004
      76,244  6,71200E-004
      76,484  6,71500E-004
      76,724  6,71800E-004
      76,963  6,72100E-004
      77,203  6,72100E-004
      77,443  6,72500E-004
      77,673  6,72700E-004
      77,923  6,72800E-004
      78,163  6,73300E-004
      78,403  6,73900E-004
      78,643  6,74000E-004
      78,883  6,74400E-004
      79,123  6,74800E-004
      79,363  6,74700E-004
      79,603  6,74900E-004
      79,843  6,75200E-004
      80,073  6,76100E-004
      80,323  6,75900E-004
      80,563  6,76200E-004
      80,803  6,76700E-004
      81,044  6,77000E-004
      81,284  6,77300E-004
      81,524  6,77000E-004
      81,764  6,77500E-004
      82,004  6,77700E-004
      82,244  6,78000E-004
      82,484  6,78200E-004
      82,724  6,78700E-004
      82,954  6,78800E-004
      83,204  6,79000E-004
      83,444  6,79700E-004
      83,684  6,79900E-004
      83,924  6,80000E-004
      84,164  6,80400E-004
      84,404  6,80900E-004
      84,644  6,80600E-004
      84,884  6,81300E-004
      85,123  6,81000E-004
      85,363  6,81800E-004
      85,603  6,82000E-004
      85,843  6,82100E-004
      86,083  6,82600E-004
      86,323  6,82500E-004
      86,563  6,82600E-004
      86,803  6,83200E-004
      87,043  6,83300E-004
      87,283  6,83800E-004
      87,523  6,83700E-004
      87,763  6,84400E-004
      88,004  6,84600E-004
      88,244  6,84500E-004
      88,484  6,84900E-004
      88,724  6,85500E-004
      88,964  6,85600E-004
      89,204  6,85700E-004
      89,444  6,86200E-004
      89,684  6,86200E-004
      89,924  6,86300E-004
      90,164  6,86500E-004
      90,404  6,87200E-004
      90,643  6,86800E-004
      90,883  6,87100E-004
      91,123  6,87700E-004
      91,363  6,88000E-004
      91,603  6,88400E-004
      91,843  6,88400E-004
      92,073  6,88700E-004
      92,323  6,88800E-004
      92,563  6,89000E-004
      92,803  6,89500E-004
      93,043  6,89900E-004
      93,283  6,89900E-004
      93,523  6,90100E-004
      93,763  6,90600E-004
      94,003  6,90500E-004
      94,243  6,90500E-004
      94,483  6,91200E-004
      94,723  6,91400E-004
      94,963  6,91800E-004
      95,203  6,91900E-004
      95,443  6,92300E-004
      95,683  6,92500E-004
      95,923  6,92500E-004
      96,154  6,92900E-004
      96,404  6,93200E-004
      96,644  6,93500E-004
      96,884  6,93400E-004
      97,124  6,94000E-004
      97,364  6,93900E-004
      97,604  6,94400E-004
      97,844  6,94700E-004
      98,084  6,94600E-004
      98,324  6,94500E-004
      98,564  6,95300E-004
      98,804  6,95600E-004
      99,044  6,95700E-004
      99,284  6,95700E-004
      99,524  6,96400E-004
      99,764  6,96400E-004
     100,004  6,96500E-004
     100,244  6,96800E-004
     100,484  6,96800E-004
     100,724  6,97400E-004
     100,964  6,97300E-004
     101,204  6,97700E-004
     101,444  6,97800E-004
     101,684  6,98000E-004
     101,923  6,98400E-004
     102,163  6,98800E-004
     102,404  6,98700E-004
     102,644  6,99100E-004
     102,884  6,99200E-004
     103,125  6,99500E-004
     103,365  6,99900E-004
     103,604  6,99900E-004
